"passer_player_id","passer_player_name","posteam","attempts","completions","pass_yards","pass_tds","interceptions","epa_per_play","cpoe","success_rate","deep_attempts","deep_completions","deep_yards","deep_tds","comp_pct","td_int_ratio","deep_comp_pct","yards_per_attempt","team_color"
"00-0039917","M.Penix","ATL",290,166,1883,9,3,-0.00384245885078829,-3.61966759417996,0.451724137931034,35,9,275,0,0.572413793103448,3,0.257142857142857,6.49310344827586,"#A71930"
"00-0034855","B.Mayfield","TB",585,343,3463,26,11,-0.00602630120641383,-2.11614655928096,0.430769230769231,69,21,748,8,0.586324786324786,2.36363636363636,0.304347826086957,5.91965811965812,"#A71930"
"00-0033119","J.Brissett","ARI",531,315,3080,23,8,-0.0113190114177383,1.63531999228037,0.448210922787194,46,15,439,2,0.593220338983051,2.875,0.326086956521739,5.80037664783428,"#97233F"
"00-0032268","M.Mariota","WAS",246,139,1590,10,7,-0.0158478538372642,3.19710616554533,0.467479674796748,40,12,427,2,0.565040650406504,1.42857142857143,0.3,6.46341463414634,"#5A1414"
"00-0029604","K.Cousins","ATL",284,166,1642,10,5,-0.0193454056494218,-2.79932229542265,0.443661971830986,25,4,137,1,0.584507042253521,2,0.16,5.78169014084507,"#A71930"
"00-0040691","J.Dart","NYG",376,216,2122,15,5,-0.0217675619989553,-0.193102200342891,0.414893617021277,45,14,435,2,0.574468085106383,3,0.311111111111111,5.6436170212766,"#0B2265"
"00-0039910","J.Daniels","WAS",207,114,1185,8,3,-0.0230772754677509,-2.72908712598099,0.444444444444444,18,10,307,2,0.550724637681159,2.66666666666667,0.555555555555556,5.72463768115942,"#5A1414"
"00-0040743","T.Shough","NO",359,221,2189,10,6,-0.0287831743549603,1.60817432025122,0.434540389972145,39,10,372,2,0.615598885793872,1.66666666666667,0.256410256410256,6.0974930362117,"#D3BC8D"
"00-0039150","B.Young","CAR",508,304,2811,23,11,-0.0433680509356665,0.998920477456875,0.427165354330709,39,17,528,7,0.598425196850394,2.09090909090909,0.435897435897436,5.53346456692913,"#0085CA"
"00-0028118","T.Taylor","NYJ",148,80,697,5,5,-0.0899656133478573,-0.877602879456648,0.425675675675676,20,3,107,1,0.540540540540541,1,0.15,4.70945945945946,"#003F2D"
"00-0036945","J.Fields","NYJ",235,128,1056,7,1,-0.0955388213830112,-1.86883856340782,0.408510638297872,16,5,131,2,0.54468085106383,7,0.3125,4.4936170212766,"#003F2D"
"00-0036898","D.Mills","HOU",169,91,857,5,1,-0.0989365194371199,-6.61342173422638,0.396449704142012,17,6,176,0,0.538461538461538,5,0.352941176470588,5.07100591715976,"#03202F"
"00-0029263","R.Wilson","NYG",129,69,765,3,3,-0.12152288363754,-1.47996957695812,0.364341085271318,19,8,290,3,0.534883720930233,1,0.421052631578947,5.93023255813953,"#0B2265"
"00-0039376","S.Rattler","NO",275,174,1482,8,5,-0.131771451017983,2.3567769965347,0.436363636363636,34,10,376,2,0.632727272727273,1.6,0.294117647058824,5.38909090909091,"#D3BC8D"
"00-0030565","G.Smith","LV",505,302,2622,19,17,-0.144398823859126,0.70712558716257,0.421782178217822,44,15,510,3,0.598019801980198,1.11764705882353,0.340909090909091,5.19207920792079,"#000000"
"00-0040676","C.Ward","TEN",595,323,2759,15,7,-0.190336390406962,-2.92967536107811,0.368067226890756,55,22,681,2,0.542857142857143,2.14285714285714,0.4,4.63697478991597,"#002244"
"00-0039923","J.McCarthy","MIN",273,140,1485,11,12,-0.198190164041515,-5.72387047049378,0.402930402930403,35,10,349,2,0.512820512820513,0.916666666666667,0.285714285714286,5.43956043956044,"#4F2683"
"00-0040704","D.Gabriel","CLE",205,110,810,7,2,-0.219013862614424,-7.50705682111708,0.317073170731707,10,2,44,1,0.536585365853659,3.5,0.2,3.95121951219512,"#FF3C00"
"00-0040668","S.Sanders","CLE",235,120,1236,7,10,-0.298867921705053,-4.9996492648736,0.336170212765957,28,9,344,2,0.51063829787234,0.7,0.321428571428571,5.25957446808511,"#FF3C00"
"00-0026158","J.Flacco","CLE",169,93,761,2,6,-0.33868558405791,-4.32581996468649,0.337278106508876,19,4,119,0,0.550295857988166,0.333333333333333,0.210526315789474,4.50295857988166,"#FF3C00"
"00-0035100","J.Browning","CIN",134,81,711,7,8,-0.394704952174924,0.375705038507779,0.380597014925373,17,5,189,2,0.604477611940298,0.875,0.294117647058824,5.30597014925373,"#FB4F14"
"00-0040398","B.Cook","NYJ",173,88,616,2,7,-0.395051217699571,-10.0291003045198,0.312138728323699,9,2,45,0,0.508670520231214,0.285714285714286,0.222222222222222,3.5606936416185,"#003F2D"
