"passer_player_id","passer_player_name","posteam","attempts","completions","yards","touchdowns","interceptions","epa_per_play","success_rate","cpoe","air_yards_per_att","yac_per_comp","third_down_success","deep_att","deep_comp","deep_yards","deep_td","explosive_passes","completion_pct","yards_per_attempt","deep_comp_pct","td_int_ratio","explosive_rate","team_name","team_id","team_nick","team_conf","team_division","team_color","team_color2","team_color3","team_color4","team_logo_wikipedia","team_logo_espn","team_wordmark","team_conference_logo","team_league_logo","team_logo_squared"
"00-0033077","D.Prescott","DAL",634,404,4552,30,10,0.168260191986056,0.481072555205047,2.16455712200028,8.015,5.00247524752475,0.418181818181818,66,29,1071,5,53,63.7223974763407,7.17981072555205,43.9393939393939,3,8.3596214511041,"Dallas Cowboys","1200","Cowboys","NFC","NFC East","#002244","#B0B7BC","#acc0c6","#a5acaf","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DAL.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DAL.png"
"00-0033106","J.Goff","DET",616,393,4564,34,8,0.172824920843576,0.482142857142857,1.77659557743387,6.42733564013841,6.13486005089058,0.384146341463415,39,19,521,5,66,63.7987012987013,7.40909090909091,48.7179487179487,4.25,10.7142857142857,"Detroit Lions","1540","Lions","NFC","NFC North","#0076B6","#B0B7BC","#000000","#004e89","https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DET.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DET.png"
"00-0033119","J.Brissett","ARI",531,315,3366,25,8,-0.0113190114177383,0.448210922787194,1.63531999228037,7.62268041237113,4.94285714285714,0.391666666666667,46,15,439,2,41,59.3220338983051,6.33898305084746,32.6086956521739,3.125,7.72128060263653,"Arizona Cardinals","3800","Cardinals","NFC","NFC West","#97233F","#000000","#ffb612","#a5acaf","https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ARI.png"
"00-0033873","P.Mahomes","KC",539,315,3587,23,11,0.126617700883436,0.476808905380334,0.336414833905581,8.06772908366534,6.01587301587302,0.354838709677419,66,21,743,1,49,58.4415584415584,6.65491651205937,31.8181818181818,2.09090909090909,9.09090909090909,"Kansas City Chiefs","2310","Chiefs","AFC","AFC West","#E31837","#FFB612","#000000","#e31837","https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/KC.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/KC.png"
"00-0034796","L.Jackson","BAL",340,192,2549,22,7,0.019223111819452,0.452941176470588,1.75868267129207,8.7682119205298,5.54166666666667,0.28125,41,19,616,6,38,56.4705882352941,7.49705882352941,46.3414634146341,3.14285714285714,11.1764705882353,"Baltimore Ravens","0325","Ravens","AFC","AFC North","#241773","#9E7C0C","#9e7c0c","#c60c30","https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BAL.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BAL.png"
"00-0034855","B.Mayfield","TB",585,343,3693,27,11,-0.00602630120641383,0.430769230769231,-2.11614655928096,8.11418047882136,5.6064139941691,0.368421052631579,69,21,748,8,54,58.6324786324786,6.31282051282051,30.4347826086957,2.45454545454545,9.23076923076923,"Tampa Bay Buccaneers","4900","Buccaneers","NFC","NFC South","#A71930","#322F2B","#000000","#ff7900","https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TB.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/TB.png"
"00-0034857","J.Allen","BUF",507,319,3668,25,10,0.120378050490063,0.465483234714004,3.51485859142261,7.30217391304348,5.94670846394984,0.373015873015873,52,21,626,4,56,62.9191321499014,7.23471400394477,40.3846153846154,2.5,11.0453648915187,"Buffalo Bills","0610","Bills","AFC","AFC East","#00338D","#C60C30","#0c2e82","#d50a0a","https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BUF.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BUF.png"
"00-0034869","S.Darnold","SEA",506,323,4048,26,14,0.124192891519673,0.515810276679842,5.23820176489337,7.84905660377358,5.5046439628483,0.447761194029851,53,28,978,7,57,63.8339920948617,8,52.8301886792453,1.85714285714286,11.2648221343874,"Seattle Seahawks","4600","Seahawks","NFC","NFC West","#002244","#69be28","#a5acaf","#001532","https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SEA.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SEA.png"
"00-0035100","J.Browning","CIN",134,81,771,8,8,-0.394704952174924,0.380597014925373,0.375705038507779,7.672,4.53086419753086,0.264705882352941,17,5,189,2,8,60.4477611940298,5.75373134328358,29.4117647058824,1,5.97014925373134,"Cincinnati Bengals","0920","Bengals","AFC","AFC North","#FB4F14","#000000","#000000","#d32f1e","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CIN.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CIN.png"
"00-0035228","K.Murray","ARI",177,110,962,6,3,0.0323197238742283,0.435028248587571,-0.52878065094067,5.84472049689441,4.95454545454545,0.416666666666667,16,4,151,0,7,62.1468926553672,5.43502824858757,25,2,3.95480225988701,"Arizona Cardinals","3800","Cardinals","NFC","NFC West","#97233F","#000000","#ffb612","#a5acaf","https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ARI.png"
