"receiver_player_id","receiver_player_name","posteam","targets","receptions","rec_yards","rec_tds","epa_per_target","yards_per_reception","first_downs","catch_rate","yards_per_target","team_color"
"00-0040126","C.Loveland","CHI",83,58,722,6,0.572362635137875,8.69879518072289,36,0.698795180722892,8.69879518072289,"#0B162A"
"00-0039868","T.Franklin","DEN",107,65,715,6,0.0914815774199171,6.62616822429907,33,0.607476635514019,6.68224299065421,"#002244"
"00-0039893","B.Thomas","JAX",91,48,707,2,0.18902232727569,7.76923076923077,33,0.527472527472527,7.76923076923077,"#006778"
"00-0038563","T.Tucker","LV",92,57,696,5,0.237161658722685,7.56521739130435,32,0.619565217391304,7.56521739130435,"#000000"
"00-0037261","K.Shakir","BUF",97,72,686,4,0.0773415673204167,7.07216494845361,28,0.742268041237113,7.07216494845361,"#00338D"
"00-0039338","B.Bowers","LV",87,64,682,7,0.268361961530927,7.81609195402299,36,0.735632183908046,7.83908045977012,"#000000"
"00-0039919","R.Odunze","CHI",91,44,672,6,0.229590341569345,7.38461538461539,37,0.483516483516484,7.38461538461539,"#0B162A"
"00-0034827","D.Moore","CHI",85,50,667,6,0.160272911676312,7.84705882352941,32,0.588235294117647,7.84705882352941,"#0B162A"
"00-0040189","O.Gadsden","LAC",69,49,664,3,0.239348627885488,9.6231884057971,28,0.710144927536232,9.6231884057971,"#007BC7"
"00-0040735","L.Burden","CHI",60,47,656,2,0.501177401340586,10.9333333333333,27,0.783333333333333,10.9333333333333,"#0B162A"
"00-0036259","J.Jennings","SF",93,55,645,10,-0.0244214531802363,6.91397849462366,36,0.591397849462366,6.93548387096774,"#AA0000"
"00-0033288","G.Kittle","SF",69,57,628,7,0.671305262707301,9.10144927536232,38,0.826086956521739,9.10144927536232,"#AA0000"
"00-0039139","J.Gibbs","DET",94,77,613,5,0.188835013640975,6.52127659574468,29,0.819148936170213,6.52127659574468,"#0076B6"
"00-0038124","C.Watson","GB",55,35,611,6,0.586778799610252,11.1090909090909,28,0.636363636363636,11.1090909090909,"#203731"
"00-0038994","J.Addison","MIN",79,42,610,3,0.177080651657128,7.72151898734177,26,0.531645569620253,7.72151898734177,"#4F2683"
"00-0039849","M.Harrison","ARI",74,41,610,4,0.420469695614264,8.21621621621622,30,0.554054054054054,8.24324324324324,"#97233F"
"00-0036407","J.Jeudy","CLE",106,50,602,2,-0.304768429226628,5.67924528301887,32,0.471698113207547,5.67924528301887,"#FF3C00"
"00-0038041","J.Ferguson","DAL",103,82,602,8,0.185050358402437,5.8252427184466,32,0.796116504854369,5.84466019417476,"#002244"
"00-0033908","C.Kupp","SEA",71,47,595,2,0.107585206942525,8.35211267605634,27,0.661971830985915,8.38028169014085,"#002244"
"00-0034351","D.Goedert","PHI",82,60,591,11,0.440521655945477,7.20731707317073,34,0.731707317073171,7.20731707317073,"#004C54"
"00-0035662","M.Brown","KC",74,49,587,5,0.301990585728726,7.93243243243243,29,0.662162162162162,7.93243243243243,"#E31837"
"00-0035659","T.McLaurin","WAS",60,38,582,3,0.529163775675029,9.7,33,0.633333333333333,9.7,"#5A1414"
"00-0039067","R.Rice","KC",79,53,573,5,0.202777823557382,7.22784810126582,28,0.670886075949367,7.25316455696202,"#E31837"
"00-0038129","C.Otton","TB",82,59,572,2,0.037564946100034,6.97560975609756,25,0.719512195121951,6.97560975609756,"#A71930"
"00-0038933","D.Kincaid","BUF",50,39,571,5,0.787768063253648,11.42,27,0.78,11.42,"#00338D"
"00-0037809","C.Okonkwo","TEN",79,56,560,2,0.160393722312816,7.08860759493671,24,0.708860759493671,7.08860759493671,"#002244"
"00-0033307","K.Bourne","SF",53,37,551,0,0.387676894144544,10.3962264150943,27,0.69811320754717,10.3962264150943,"#AA0000"
"00-0038608","K.Boutte","NE",46,33,551,6,0.801311764699714,11.9782608695652,27,0.717391304347826,11.9782608695652,"#002244"
"00-0033555","M.Hollins","NE",65,46,550,2,0.418470644601025,8.46153846153846,28,0.707692307692308,8.46153846153846,"#002244"
"00-0039916","R.Pearsall","SF",53,36,548,0,0.503905667581132,10.3396226415094,28,0.679245283018868,10.3396226415094,"#AA0000"
"00-0038559","M.Wilson","ARI",67,37,547,6,0.0382377953252626,8.16417910447761,27,0.552238805970149,8.16417910447761,"#97233F"
"00-0038997","J.Downs","IND",88,58,547,5,0.0983807974162833,6.21590909090909,36,0.659090909090909,6.21590909090909,"#002C5F"
"00-0035535","D.Slayton","NYG",65,37,542,1,0.276944694999558,8.27692307692308,23,0.569230769230769,8.33846153846154,"#0B2265"
"00-0038935","B.Strange","JAX",60,46,540,3,0.522745846858953,9,28,0.766666666666667,9,"#006778"
"00-0039894","X.Worthy","KC",73,42,532,1,0.203123457104161,7.28767123287671,22,0.575342465753425,7.28767123287671,"#E31837"
"00-0039847","T.Johnson","NYG",74,45,528,5,0.119356367064909,7.13513513513514,25,0.608108108108108,7.13513513513514,"#0B2265"
"00-0040130","J.Higgins","HOU",69,41,525,6,0.242864967895584,7.60869565217391,28,0.594202898550725,7.60869565217391,"#03202F"
"00-0039793","A.Barner","SEA",68,52,519,6,0.410926928606022,7.63235294117647,26,0.764705882352941,7.63235294117647,"#002244"
"00-0040170","E.Ayomanor","TEN",89,41,515,5,-0.107816893218607,5.78651685393258,30,0.460674157303371,5.78651685393258,"#002244"
"00-0030061","Z.Ertz","WAS",73,50,506,4,0.160415012871325,6.9041095890411,25,0.684931506849315,6.93150684931507,"#5A1414"
"00-0037545","R.Shaheed","NO",66,44,499,2,-0.0107922286641314,7.56060606060606,22,0.666666666666667,7.56060606060606,"#D3BC8D"
"00-0038996","T.Kraft","GB",44,32,489,6,0.889179018875769,11.1136363636364,22,0.727272727272727,11.1136363636364,"#203731"
"00-0039065","S.LaPorta","DET",49,40,489,3,0.743425353321447,9.97959183673469,23,0.816326530612245,9.97959183673469,"#0076B6"
"00-0036894","P.Freiermuth","PIT",54,41,486,4,0.431663719811723,9,22,0.759259259259259,9,"#000000"
"00-0036919","K.Gainwell","PIT",85,73,486,3,0.0462661095166845,5.71764705882353,24,0.858823529411765,5.71764705882353,"#000000"
"00-0034960","J.Meyers","JAX",61,42,483,3,0.218393671093797,7.91803278688525,28,0.688524590163934,7.91803278688525,"#006778"
"00-0039040","D.Achane","MIA",85,67,481,5,-0.120327963075941,5.65882352941177,23,0.788235294117647,5.65882352941177,"#008E97"
"00-0039410","R.Flournoy","DAL",56,40,475,4,0.511336304828141,8.48214285714286,29,0.714285714285714,8.48214285714286,"#002244"
"00-0033881","E.Engram","DEN",77,50,461,1,0.0453413043163305,5.98701298701299,19,0.649350649350649,5.98701298701299,"#002244"
"00-0038559","Mi.Wilson","ARI",60,41,459,1,0.386504140259584,7.65,24,0.683333333333333,7.65,"#97233F"
"00-0038621","D.Douglas","NE",46,31,447,3,0.611788094478193,9.71739130434783,17,0.673913043478261,9.71739130434783,"#002244"
"00-0037291","J.Nailor","MIN",54,29,446,4,0.214122020283413,8.22222222222222,23,0.537037037037037,8.25925925925926,"#4F2683"
"00-0036309","D.Mooney","ATL",72,32,443,1,0.0509432987704112,6.15277777777778,25,0.444444444444444,6.15277777777778,"#A71930"
"00-0035229","T.Hockenson","MIN",66,51,438,3,0.213567658452584,6.63636363636364,23,0.772727272727273,6.63636363636364,"#4F2683"
"00-0038104","T.Thornton","KC",37,19,438,3,0.709408994940867,11.8378378378378,15,0.513513513513513,11.8378378378378,"#E31837"
"00-0038619","A.Iosivas","CIN",58,33,435,2,0.201323406298985,7.5,24,0.568965517241379,7.5,"#FB4F14"
"00-0038618","X.Hutchinson","HOU",57,35,428,3,0.226062573096696,7.50877192982456,19,0.614035087719298,7.50877192982456,"#03202F"
"00-0040705","C.Dike","TEN",74,48,423,4,0.0211653137712967,5.71621621621622,20,0.648648648648649,5.71621621621622,"#002244"
"00-0034753","M.Andrews","BAL",70,48,422,5,0.0221092392335042,6.02857142857143,24,0.685714285714286,6.02857142857143,"#241773"
"00-0035689","D.Knox","BUF",50,36,419,4,0.349593622378018,8.34,23,0.72,8.38,"#00338D"
"00-0039901","K.Coleman","BUF",62,38,417,4,0.199857055099505,6.69354838709677,27,0.612903225806452,6.7258064516129,"#00338D"
"00-0038597","C.Brown","CIN",89,69,416,6,-0.116057117716039,4.65168539325843,18,0.775280898876405,4.67415730337079,"#FB4F14"
"00-0036244","C.Parkinson","LA",56,43,408,8,0.22423413257347,7.28571428571429,24,0.767857142857143,7.28571428571429,"#003594"
"00-0039491","J.Coker","CAR",45,33,397,3,0.485683472798625,8.77777777777778,22,0.733333333333333,8.82222222222222,"#0085CA"
"00-0037801","K.Turpin","DAL",38,26,396,2,0.440026375997295,10.4210526315789,16,0.684210526315789,10.4210526315789,"#002244"
